"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Volume)","q1(Volume)","med(Volume)","q3(Volume)","max(Volume)","avg(Volume)","std(Volume)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.024861,0.024861,0.024861,0.024861,0.024861,0.024861,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.153
1,0.024863,0.024863,0.024863,0.024863,0.024863,0.024863,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.154
1,0.024865,0.024865,0.024865,0.024865,0.024865,0.024865,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.155
1,0.024868,0.024868,0.024868,0.024868,0.024868,0.024868,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.156
1,0.024871,0.024871,0.024871,0.024871,0.024871,0.024871,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.157
1,0.024874,0.024874,0.024874,0.024874,0.024874,0.024874,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.158
1,0.024877,0.024877,0.024877,0.024877,0.024877,0.024877,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.159
1,0.024879,0.024879,0.024879,0.024879,0.024879,0.024879,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.16
1,0.024878,0.024878,0.024878,0.024878,0.024878,0.024878,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.161
1,0.024876,0.024876,0.024876,0.024876,0.024876,0.024876,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.162
1,0.024874,0.024874,0.024874,0.024874,0.024874,0.024874,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.163
1,0.024872,0.024872,0.024872,0.024872,0.024872,0.024872,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.164
1,0.024869,0.024869,0.024869,0.024869,0.024869,0.024869,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.165
1,0.024867,0.024867,0.024867,0.024867,0.024867,0.024867,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.166
1,0.024864,0.024864,0.024864,0.024864,0.024864,0.024864,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.167
1,0.024859,0.024859,0.024859,0.024859,0.024859,0.024859,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.168
1,0.024854,0.024854,0.024854,0.024854,0.024854,0.024854,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.169
1,0.024848,0.024848,0.024848,0.024848,0.024848,0.024848,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.17
1,0.02484,0.02484,0.02484,0.02484,0.02484,0.02484,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.171
1,0.024832,0.024832,0.024832,0.024832,0.024832,0.024832,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.172
1,0.024824,0.024824,0.024824,0.024824,0.024824,0.024824,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.173
1,0.024816,0.024816,0.024816,0.024816,0.024816,0.024816,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.174
1,0.024808,0.024808,0.024808,0.024808,0.024808,0.024808,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.175
1,0.024802,0.024802,0.024802,0.024802,0.024802,0.024802,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.176
1,0.024796,0.024796,0.024796,0.024796,0.024796,0.024796,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.177
1,0.024792,0.024792,0.024792,0.024792,0.024792,0.024792,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.178
1,0.02479,0.02479,0.02479,0.02479,0.02479,0.02479,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.179
